product_id,product,description,brand,sku,category,subcategory,price,discount_percentage,discounted_price,rating,stock,warranty_information,shipping_information,availability_status,return_policy,min_order_quantity,thumbnail
71,Silver Pot With Glass Cap,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",NULL,KIT-BRD-SIL-071,Kitchen-Accessories,Pots,39.99,5.7,37.71,3.22,40,1 year,1 month,In Stock,90 days,10,https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/thumbnail.webp
72,Slotted Turner,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",NULL,KIT-BRD-SLO-072,Kitchen-Accessories,Turners,8.99,13.35,7.79,3.4,88,Lifetime,1-2 business days,In Stock,7 days,34,https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/thumbnail.webp
73,Spice Rack,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,NULL,KIT-BRD-SPI-073,Kitchen-Accessories,Organization,19.99,12.09,17.57,4.87,79,1 week,overnight,In Stock,7 days,18,https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/thumbnail.webp
74,Spoon,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",NULL,KIT-BRD-SPO-074,Kitchen-Accessories,Utensils,4.99,1.53,4.91,4.03,59,1 year,1-2 business days,In Stock,90 days,15,https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/thumbnail.webp
75,Tray,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",NULL,KIT-BRD-TRA-075,Kitchen-Accessories,Trays,16.99,7.48,15.72,4.62,71,5 year,2 weeks,In Stock,7 days,23,https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/thumbnail.webp
76,Wooden Rolling Pin,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,NULL,KIT-BRD-WOO-076,Kitchen-Accessories,Baking,11.99,9.75,10.82,2.92,80,3 year,2 weeks,In Stock,30 days,11,https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/thumbnail.webp
77,Yellow Peeler,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,NULL,KIT-BRD-YEL-077,Kitchen-Accessories,Peelers,5.99,12.48,5.24,4.24,35,1 month,3-5 business days,In Stock,90 days,6,https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/thumbnail.webp
78,Apple MacBook Pro 14 Inch Space Grey,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",Apple,LAP-APP-APP-078,Laptops,Apple,1999.99,4.69,1906.19,3.65,24,3 year,2 weeks,In Stock,90 days,1,https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp
79,Asus Zenbook Pro Dual Screen Laptop,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",Asus,LAP-ASU-ASU-079,Laptops,Laptops,1799.99,11.14,1599.47,3.95,45,3 year,1 month,In Stock,7 days,1,https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp
80,Huawei Matebook X Pro,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",Huawei,LAP-HUA-HUA-080,Laptops,Laptops,1399.99,9.38,1268.67,4.98,75,No,overnight,In Stock,60 days,1,https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/thumbnail.webp
81,Lenovo Yoga 920,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",Lenovo,LAP-LEN-LEN-081,Laptops,Laptops,1099.99,6.55,1027.94,2.86,40,6 months,2 weeks,In Stock,No return,1,https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/thumbnail.webp
82,New DELL XPS 13 9300 Laptop,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",Dell,LAP-DEL-DEL-082,Laptops,Laptops,1499.99,11.89,1321.64,2.67,74,2 year,2 weeks,In Stock,60 days,1,https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/thumbnail.webp
83,Blue & Black Check Shirt,"The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",Fashion Trends,MEN-FAS-BLU-083,Mens-Shirts,Men'S Shirts,29.99,15.35,25.39,3.64,38,3 year,3-5 business days,In Stock,30 days,18,https://cdn.dummyjson.com/product-images/mens-shirts/blue-&-black-check-shirt/thumbnail.webp
84,Gigabyte Aorus Men Tshirt,"The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",Gigabyte,MEN-GIG-GIG-084,Mens-Shirts,Men'S T-Shirts,24.99,0.94,24.76,3.18,90,3 year,overnight,In Stock,30 days,16,https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp
85,Man Plaid Shirt,The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.,Classic Wear,MEN-CLA-PLA-085,Mens-Shirts,Men'S Shirts,34.99,19.5,28.17,3.46,82,1 week,1-2 business days,In Stock,7 days,13,https://cdn.dummyjson.com/product-images/mens-shirts/man-plaid-shirt/thumbnail.webp
86,Man Short Sleeve Shirt,"The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",Casual Comfort,MEN-CAS-SHO-086,Mens-Shirts,Men'S Shirts,19.99,6.83,18.62,2.9,2,3 year,2 weeks,Low Stock,30 days,4,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp
87,Men Check Shirt,"The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",Urban Chic,MEN-URB-CHE-087,Mens-Shirts,Men'S Shirts,27.99,11.38,24.8,2.72,95,No,1-2 business days,In Stock,30 days,12,https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp
88,Nike Air Jordan 1 Red And Black,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",Nike,MEN-NIK-NIK-088,Mens-Shoes,Athletic Shoes,149.99,4.12,143.81,4.77,7,1 year,1 week,In Stock,No return,1,https://cdn.dummyjson.com/product-images/mens-shoes/nike-air-jordan-1-red-and-black/thumbnail.webp
89,Nike Baseball Cleats,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.,Nike,MEN-NIK-NIK-089,Mens-Shoes,Sports Cleats,79.99,18.04,65.56,3.88,12,6 months,2 weeks,In Stock,No return,3,https://cdn.dummyjson.com/product-images/mens-shoes/nike-baseball-cleats/thumbnail.webp
90,Puma Future Rider Trainers,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",Puma,MEN-PUM-PUM-090,Mens-Shoes,Casual Shoes,89.99,4.2,86.21,4.9,90,5 year,1-2 business days,In Stock,90 days,10,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp
91,Sports Sneakers Off White & Red,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",Off White,MEN-OFF-SPO-091,Mens-Shoes,Athletic Shoes,119.99,4.97,114.03,4.77,17,1 week,3-5 business days,In Stock,30 days,5,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-&-red/thumbnail.webp
92,Sports Sneakers Off White Red,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",Off White,MEN-OFF-SPO-092,Mens-Shoes,Casual Shoes,109.99,0.04,109.95,4.69,62,3 months,overnight,In Stock,60 days,3,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp
93,Brown Leather Belt Watch,"The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look.",Fashion Timepieces,MEN-FAS-BRO-093,Mens-Watches,Leather Watches,89.99,5.99,84.6,4.19,32,1 year,1 month,In Stock,30 days,7,https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/thumbnail.webp
94,Longines Master Collection,"The Longines Master Collection is an elegant and refined watch known for its precision and craftsmanship. With a timeless design, it's a symbol of luxury and sophistication.",Longines,MEN-LON-LON-094,Mens-Watches,Luxury Watches,1499.99,17.24,1241.39,3.87,100,1 week,1-2 business days,In Stock,7 days,1,https://cdn.dummyjson.com/product-images/mens-watches/longines-master-collection/thumbnail.webp
95,Rolex Cellini Date Black Dial,"The Rolex Cellini Date with Black Dial is a classic and prestigious watch. With a black dial and date complication, it exudes sophistication and is a symbol of Rolex's heritage.",Rolex,MEN-ROL-ROL-095,Mens-Watches,Luxury Watches,8999.99,8.88,8200.79,4.97,40,3 months,1 week,In Stock,90 days,1,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-date-black-dial/thumbnail.webp
96,Rolex Cellini Moonphase,"The Rolex Cellini Moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. It reflects Rolex's commitment to precision and elegance.",Rolex,MEN-ROL-ROL-096,Mens-Watches,Luxury Watches,12999.99,17.52,10722.39,2.58,36,6 months,overnight,In Stock,7 days,1,https://cdn.dummyjson.com/product-images/mens-watches/rolex-cellini-moonphase/thumbnail.webp
97,Rolex Datejust,"The Rolex Datejust is an iconic and versatile timepiece with a date window. Known for its timeless design and reliability, it's a symbol of Rolex's watchmaking excellence.",Rolex,MEN-ROL-ROL-097,Mens-Watches,Luxury Watches,10999.99,3.73,10589.69,3.66,86,2 year,1 month,In Stock,7 days,1,https://cdn.dummyjson.com/product-images/mens-watches/rolex-datejust/thumbnail.webp
98,Rolex Submariner Watch,"The Rolex Submariner is a legendary dive watch with a rich history. Known for its durability and water resistance, it's a symbol of adventure and exploration.",Rolex,MEN-ROL-ROL-098,Mens-Watches,Luxury Watches,13999.99,5.05,13292.99,2.69,55,5 year,1 month,In Stock,90 days,1,https://cdn.dummyjson.com/product-images/mens-watches/rolex-submariner-watch/thumbnail.webp
99,Amazon Echo Plus,The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.,Amazon,MOB-AMA-AMA-099,Mobile-Accessories,Smart Speakers,99.99,12.07,87.92,4.99,61,6 months,1 week,In Stock,7 days,9,https://cdn.dummyjson.com/product-images/mobile-accessories/amazon-echo-plus/thumbnail.webp
100,Apple Airpods,"The Apple Airpods offer a seamless wireless audio experience. With easy pairing, high-quality sound, and Siri integration, they are perfect for on-the-go listening.",Apple,MOB-APP-APP-100,Mobile-Accessories,Wireless Earphones,129.99,15.54,109.79,4.15,67,3 year,3-5 business days,In Stock,No return,4,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods/thumbnail.webp
101,Apple AirPods Max Silver,"The Apple AirPods Max in Silver are premium over-ear headphones with high-fidelity audio, adaptive EQ, and active noise cancellation. Experience immersive sound in style.",Apple,MOB-APP-APP-101,Mobile-Accessories,Over-Ear Headphones,549.99,13.67,474.81,3.47,59,No,2 weeks,In Stock,No return,1,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpods-max-silver/thumbnail.webp
102,Apple Airpower Wireless Charger,The Apple AirPower Wireless Charger provides a convenient way to charge your compatible Apple devices wirelessly. Simply place your devices on the charging mat for effortless charging.,Apple,MOB-APP-APP-102,Mobile-Accessories,Wireless Chargers,79.99,4.48,76.41,3.68,1,2 year,1 week,Low Stock,90 days,7,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-airpower-wireless-charger/thumbnail.webp
103,Apple HomePod Mini Cosmic Grey,The Apple HomePod Mini in Cosmic Grey is a compact smart speaker that delivers impressive audio and integrates seamlessly with the Apple ecosystem for a smart home experience.,Apple,MOB-APP-APP-103,Mobile-Accessories,Smart Speakers,99.99,18.1,81.89,4.62,27,3 months,1 month,In Stock,90 days,8,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-homepod-mini-cosmic-grey/thumbnail.webp
104,Apple iPhone Charger,The Apple iPhone Charger is a high-quality charger designed for fast and efficient charging of your iPhone. Ensure your device stays powered up and ready to go.,Apple,MOB-APP-APP-104,Mobile-Accessories,Chargers,19.99,18.52,16.29,4.15,31,1 year,2 weeks,In Stock,90 days,14,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-iphone-charger/thumbnail.webp
105,Apple MagSafe Battery Pack,The Apple MagSafe Battery Pack is a portable and convenient way to add extra battery life to your MagSafe-compatible iPhone. Attach it magnetically for a secure connection.,Apple,MOB-APP-APP-105,Mobile-Accessories,Power Banks,99.99,17.17,82.82,3.62,1,2 year,overnight,Low Stock,No return,4,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-magsafe-battery-pack/thumbnail.webp
106,Apple Watch Series 4 Gold,"The Apple Watch Series 4 in Gold is a stylish and advanced smartwatch with features like heart rate monitoring, fitness tracking, and a beautiful Retina display.",Apple,MOB-APP-APP-106,Mobile-Accessories,Smartwatches,349.99,12.02,307.92,2.74,33,6 months,1 month,In Stock,No return,3,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/thumbnail.webp
107,Beats Flex Wireless Earphones,"The Beats Flex Wireless Earphones offer a comfortable and versatile audio experience. With magnetic earbuds and up to 12 hours of battery life, they are ideal for everyday use.",Beats,MOB-BEA-BEA-107,Mobile-Accessories,Wireless Earphones,49.99,5.73,47.13,4.24,50,1 year,1-2 business days,In Stock,7 days,17,https://cdn.dummyjson.com/product-images/mobile-accessories/beats-flex-wireless-earphones/thumbnail.webp
108,iPhone 12 Silicone Case with MagSafe Plum,The iPhone 12 Silicone Case with MagSafe in Plum is a stylish and protective case designed for the iPhone 12. It features MagSafe technology for easy attachment of accessories.,Apple,MOB-APP-IPH-108,Mobile-Accessories,Phone Accessories,29.99,13.85,25.84,3.62,69,3 months,3-5 business days,In Stock,90 days,4,https://cdn.dummyjson.com/product-images/mobile-accessories/iphone-12-silicone-case-with-magsafe-plum/thumbnail.webp
109,Monopod,"The Monopod is a versatile camera accessory for stable and adjustable shooting. Perfect for capturing selfies, group photos, and videos with ease.",TechGear,MOB-TEC-MON-109,Mobile-Accessories,Camera Accessories,19.99,8.58,18.27,4.43,48,1 year,1-2 business days,In Stock,60 days,30,https://cdn.dummyjson.com/product-images/mobile-accessories/monopod/thumbnail.webp
110,Selfie Lamp with iPhone,The Selfie Lamp with iPhone is a portable and adjustable LED light designed to enhance your selfies and video calls. Attach it to your iPhone for well-lit photos.,GadgetMaster,MOB-GAD-SEL-110,Mobile-Accessories,Selfie Accessories,14.99,19.4,12.08,3.55,58,Lifetime,2 weeks,In Stock,60 days,22,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-lamp-with-iphone/thumbnail.webp
111,Selfie Stick Monopod,The Selfie Stick Monopod is a extendable and foldable device for capturing the perfect selfie or group photo. Compatible with smartphones and cameras.,SnapTech,MOB-SNA-SEL-111,Mobile-Accessories,Selfie Accessories,12.99,19.12,10.51,3.88,11,3 year,1-2 business days,In Stock,30 days,8,https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/thumbnail.webp
112,TV Studio Camera Pedestal,The TV Studio Camera Pedestal is a professional-grade camera support system for smooth and precise camera movements in a studio setting. Ideal for broadcast and production.,ProVision,MOB-PRO-STU-112,Mobile-Accessories,Camera Accessories,499.99,8.31,458.44,2.78,15,3 months,1-2 business days,In Stock,7 days,1,https://cdn.dummyjson.com/product-images/mobile-accessories/tv-studio-camera-pedestal/thumbnail.webp
113,Generic Motorcycle,"The Generic Motorcycle is a versatile and reliable bike suitable for various riding preferences. With a balanced design, it provides a comfortable and efficient riding experience.",Generic Motors,MOT-GEN-GEN-113,Motorcycle,Motorcycles,3999.99,12.1,3515.99,4.91,34,1 year,2 weeks,In Stock,7 days,1,https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp
114,Kawasaki Z800,"The Kawasaki Z800 is a powerful and agile sportbike known for its striking design and performance. It's equipped with advanced features, making it a favorite among motorcycle enthusiasts.",Kawasaki,MOT-KAW-KAW-114,Motorcycle,Sportbikes,8999.99,9.77,8120.69,3.98,52,Lifetime,3-5 business days,In Stock,90 days,1,https://cdn.dummyjson.com/product-images/motorcycle/kawasaki-z800/thumbnail.webp
115,MotoGP CI.H1,The MotoGP CI.H1 is a high-performance motorcycle inspired by MotoGP racing technology. It offers cutting-edge features and precision engineering for an exhilarating riding experience.,MotoGP,MOT-MOT-MOT-115,Motorcycle,Sportbikes,14999.99,6.92,13961.99,2.97,10,1 month,3-5 business days,In Stock,30 days,1,https://cdn.dummyjson.com/product-images/motorcycle/motogp-ci.h1/thumbnail.webp
116,Scooter Motorcycle,The Scooter Motorcycle is a practical and fuel-efficient bike ideal for urban commuting. It features a step-through design and user-friendly controls for easy maneuverability.,ScootMaster,MOT-SCO-SCO-116,Motorcycle,Scooters,2999.99,6.27,2811.89,2.53,84,5 year,overnight,In Stock,7 days,1,https://cdn.dummyjson.com/product-images/motorcycle/scooter-motorcycle/thumbnail.webp
117,Sportbike Motorcycle,"The Sportbike Motorcycle is designed for speed and agility, with a sleek and aerodynamic profile. It's suitable for riders looking for a dynamic and thrilling riding experience.",SpeedMaster,MOT-SPE-SPO-117,Motorcycle,Sportbikes,7499.99,11.58,6631.49,3.94,0,5 year,2 weeks,Out of Stock,30 days,1,https://cdn.dummyjson.com/product-images/motorcycle/sportbike-motorcycle/thumbnail.webp
118,Attitude Super Leaves Hand Soap,"Attitude Super Leaves Hand Soap is a natural and nourishing hand soap enriched with the goodness of super leaves. It cleanses and moisturizes your hands, leaving them feeling fresh and soft.",Attitude,SKI-ATT-ATT-118,Skin-Care,Hand Soap,8.99,18.49,7.33,3.19,94,6 months,overnight,In Stock,60 days,41,https://cdn.dummyjson.com/product-images/skin-care/attitude-super-leaves-hand-soap/thumbnail.webp
119,Olay Ultra Moisture Shea Butter Body Wash,Olay Ultra Moisture Shea Butter Body Wash is a luxurious body wash that hydrates and nourishes your skin with the moisturizing power of shea butter. Enjoy a rich lather and silky-smooth skin.,Olay,SKI-OLA-OLA-119,Skin-Care,Body Wash,12.99,16.39,10.86,4.51,34,1 year,1-2 business days,In Stock,30 days,33,https://cdn.dummyjson.com/product-images/skin-care/olay-ultra-moisture-shea-butter-body-wash/thumbnail.webp
120,Vaseline Men Body and Face Lotion,Vaseline Men Body and Face Lotion is a specially formulated lotion designed to provide long-lasting moisture to men's skin. It absorbs quickly and helps keep the skin hydrated and healthy.,Vaseline,SKI-VAS-VAS-120,Skin-Care,Body Lotion,9.99,13.39,8.65,3.16,95,Lifetime,overnight,In Stock,90 days,9,https://cdn.dummyjson.com/product-images/skin-care/vaseline-men-body-and-face-lotion/thumbnail.webp
121,iPhone 5s,"The iPhone 5s is a classic smartphone known for its compact design and advanced features during its release. While it's an older model, it still provides a reliable user experience.",Apple,SMA-APP-IPH-121,Smartphones,Apple,199.99,12.91,174.17,2.83,25,Lifetime,1 month,In Stock,60 days,3,https://cdn.dummyjson.com/product-images/smartphones/iphone-5s/thumbnail.webp
122,iPhone 6,"The iPhone 6 is a stylish and capable smartphone with a larger display and improved performance. It introduced new features and design elements, making it a popular choice in its time.",Apple,SMA-APP-IPH-122,Smartphones,Apple,299.99,6.69,279.92,3.41,60,1 month,overnight,In Stock,7 days,5,https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp
123,iPhone 13 Pro,"The iPhone 13 Pro is a cutting-edge smartphone with a powerful camera system, high-performance chip, and stunning display. It offers advanced features for users who demand top-notch technology.",Apple,SMA-APP-IPH-123,Smartphones,Apple,1099.99,9.37,996.92,4.12,56,3 year,2 weeks,In Stock,7 days,1,https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp
124,iPhone X,"The iPhone X is a flagship smartphone featuring a bezel-less OLED display, facial recognition technology (Face ID), and impressive performance. It represents a milestone in iPhone design and innovation.",Apple,SMA-APP-IPH-124,Smartphones,Apple,899.99,19.59,723.68,2.51,37,3 months,3-5 business days,In Stock,7 days,2,https://cdn.dummyjson.com/product-images/smartphones/iphone-x/thumbnail.webp
125,Oppo A57,"The Oppo A57 is a mid-range smartphone known for its sleek design and capable features. It offers a balance of performance and affordability, making it a popular choice.",Oppo,SMA-OPP-OPP-125,Smartphones,Oppo,249.99,2.43,243.92,3.94,19,Lifetime,3-5 business days,In Stock,90 days,3,https://cdn.dummyjson.com/product-images/smartphones/oppo-a57/thumbnail.webp
126,Oppo F19 Pro Plus,The Oppo F19 Pro Plus is a feature-rich smartphone with a focus on camera capabilities. It boasts advanced photography features and a powerful performance for a premium user experience.,Oppo,SMA-OPP-OPP-126,Smartphones,Oppo,399.99,18.64,325.43,3.51,78,3 year,1 week,In Stock,90 days,1,https://cdn.dummyjson.com/product-images/smartphones/oppo-f19-pro-plus/thumbnail.webp
127,Oppo K1,"The Oppo K1 series offers a range of smartphones with various features and specifications. Known for their stylish design and reliable performance, the Oppo K1 series caters to diverse user preferences.",Oppo,SMA-OPP-OPP-127,Smartphones,Oppo,299.99,18.29,245.12,4.25,55,1 month,1-2 business days,In Stock,30 days,5,https://cdn.dummyjson.com/product-images/smartphones/oppo-k1/thumbnail.webp
128,Realme C35,The Realme C35 is a budget-friendly smartphone with a focus on providing essential features for everyday use. It offers a reliable performance and user-friendly experience.,Realme,SMA-REA-REA-128,Smartphones,Realme,149.99,15.3,127.04,4.2,48,3 year,overnight,In Stock,90 days,3,https://cdn.dummyjson.com/product-images/smartphones/realme-c35/thumbnail.webp
129,Realme X,The Realme X is a mid-range smartphone known for its sleek design and impressive display. It offers a good balance of performance and camera capabilities for users seeking a quality device.,Realme,SMA-REA-REA-129,Smartphones,Realme,299.99,6.95,279.14,3.7,12,1 month,3-5 business days,In Stock,No return,3,https://cdn.dummyjson.com/product-images/smartphones/realme-x/thumbnail.webp
130,Realme XT,"The Realme XT is a feature-rich smartphone with a focus on camera technology. It comes equipped with advanced camera sensors, delivering high-quality photos and videos for photography enthusiasts.",Realme,SMA-REA-REA-130,Smartphones,Realme,349.99,11.51,309.71,4.58,80,3 year,1 month,In Stock,60 days,3,https://cdn.dummyjson.com/product-images/smartphones/realme-xt/thumbnail.webp
