product_id,product,description,brand,sku,category,subcategory,price,discount_percentage,discounted_price,rating,stock,warranty_information,shipping_information,availability_status,return_policy,min_order_quantity,thumbnail
131,Samsung Galaxy S7,"The Samsung Galaxy S7 is a flagship smartphone known for its sleek design and advanced features. It features a high-resolution display, powerful camera, and robust performance.",Samsung,SMA-SAM-SAM-131,Smartphones,Samsung Galaxy,299.99,19.55,241.34,3.3,67,3 months,3-5 business days,In Stock,No return,1,https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s7/thumbnail.webp
132,Samsung Galaxy S8,"The Samsung Galaxy S8 is a premium smartphone with an Infinity Display, offering a stunning visual experience. It boasts advanced camera capabilities and cutting-edge technology.",Samsung,SMA-SAM-SAM-132,Smartphones,Samsung Galaxy,499.99,19.45,402.74,4.4,0,2 year,1 week,Out of Stock,No return,4,https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s8/thumbnail.webp
133,Samsung Galaxy S10,"The Samsung Galaxy S10 is a flagship device featuring a dynamic AMOLED display, versatile camera system, and powerful performance. It represents innovation and excellence in smartphone technology.",Samsung,SMA-SAM-SAM-133,Smartphones,Samsung Galaxy,699.99,5.59,660.86,3.06,19,No,2 weeks,In Stock,30 days,2,https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s10/thumbnail.webp
134,Vivo S1,"The Vivo S1 is a stylish and mid-range smartphone offering a blend of design and performance. It features a vibrant display, capable camera system, and reliable functionality.",Vivo,SMA-VIV-VIV-134,Smartphones,Vivo,249.99,10.17,224.57,3.5,50,6 months,3-5 business days,In Stock,7 days,1,https://cdn.dummyjson.com/product-images/smartphones/vivo-s1/thumbnail.webp
135,Vivo V9,"The Vivo V9 is a smartphone known for its sleek design and emphasis on capturing high-quality selfies. It features a notch display, dual-camera setup, and a modern design.",Vivo,SMA-VIV-VIV-135,Smartphones,Vivo,299.99,17.67,246.98,3.6,82,2 year,1 month,In Stock,60 days,2,https://cdn.dummyjson.com/product-images/smartphones/vivo-v9/thumbnail.webp
136,Vivo X21,"The Vivo X21 is a premium smartphone with a focus on cutting-edge technology. It features an in-display fingerprint sensor, a high-resolution display, and advanced camera capabilities.",Vivo,SMA-VIV-VIV-136,Smartphones,Vivo,499.99,17.41,412.94,4.26,7,1 year,1-2 business days,In Stock,60 days,3,https://cdn.dummyjson.com/product-images/smartphones/vivo-x21/thumbnail.webp
137,American Football,"The American Football is a classic ball used in American football games. It is designed for throwing and catching, making it an essential piece of equipment for the sport.",NULL,SPO-BRD-AME-137,Sports-Accessories,American Football,19.99,4.93,19,4.91,53,6 months,1 month,In Stock,90 days,1,https://cdn.dummyjson.com/product-images/sports-accessories/american-football/thumbnail.webp
138,Baseball Ball,"The Baseball Ball is a standard baseball used in baseball games. It features a durable leather cover and is designed for pitching, hitting, and fielding in the game of baseball.",NULL,SPO-BRD-BAS-138,Sports-Accessories,Baseball,8.99,1.71,8.84,2.57,100,6 months,1 week,In Stock,30 days,11,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-ball/thumbnail.webp
139,Baseball Glove,"The Baseball Glove is a protective glove worn by baseball players. It is designed to catch and field the baseball, providing players with comfort and control during the game.",NULL,SPO-BRD-BAS-139,Sports-Accessories,Baseball,24.99,2.9,24.27,3.96,22,Lifetime,2 weeks,In Stock,90 days,8,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-glove/thumbnail.webp
140,Basketball,"The Basketball is a standard ball used in basketball games. It is designed for dribbling, shooting, and passing in the game of basketball, suitable for both indoor and outdoor play.",NULL,SPO-BRD-BAS-140,Sports-Accessories,Basketball,14.99,7.44,13.87,4.66,75,1 year,1 week,In Stock,90 days,11,https://cdn.dummyjson.com/product-images/sports-accessories/basketball/thumbnail.webp
141,Basketball Rim,The Basketball Rim is a sturdy hoop and net assembly mounted on a basketball backboard. It provides a target for shooting and scoring in the game of basketball.,NULL,SPO-BRD-BAS-141,Sports-Accessories,Basketball,39.99,7.74,36.89,4.6,43,3 months,overnight,In Stock,No return,9,https://cdn.dummyjson.com/product-images/sports-accessories/basketball-rim/thumbnail.webp
142,Cricket Ball,"The Cricket Ball is a hard leather ball used in the sport of cricket. It is bowled and batted in the game, and its hardness and seam contribute to the dynamics of cricket play.",NULL,SPO-BRD-CRI-142,Sports-Accessories,Cricket,12.99,8.63,11.87,3.53,30,3 year,3-5 business days,In Stock,7 days,11,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-ball/thumbnail.webp
143,Cricket Bat,The Cricket Bat is an essential piece of cricket equipment used by batsmen to hit the cricket ball. It is made of wood and comes in various sizes and designs.,NULL,SPO-BRD-CRI-143,Sports-Accessories,Cricket,29.99,3.29,29,3.17,98,1 year,1-2 business days,In Stock,No return,16,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-bat/thumbnail.webp
144,Cricket Helmet,"The Cricket Helmet is a protective headgear worn by cricket players, especially batsmen and wicketkeepers. It provides protection against fast bowling and bouncers.",NULL,SPO-BRD-CRI-144,Sports-Accessories,Cricket,44.99,9.64,40.65,4.69,10,Lifetime,overnight,In Stock,60 days,4,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-helmet/thumbnail.webp
145,Cricket Wicket,"The Cricket Wicket is a set of three stumps and two bails, forming a wicket used in the sport of cricket. Batsmen aim to protect the wicket while scoring runs.",NULL,SPO-BRD-CRI-145,Sports-Accessories,Cricket,29.99,16.93,24.91,4.73,25,3 months,overnight,In Stock,No return,20,https://cdn.dummyjson.com/product-images/sports-accessories/cricket-wicket/thumbnail.webp
146,Feather Shuttlecock,"The Feather Shuttlecock is used in the sport of badminton. It features natural feathers and is designed for high-speed play, providing stability and accuracy during matches.",NULL,SPO-BRD-FEA-146,Sports-Accessories,Badminton,5.99,2.95,5.81,2.85,95,3 year,1-2 business days,In Stock,60 days,30,https://cdn.dummyjson.com/product-images/sports-accessories/feather-shuttlecock/thumbnail.webp
147,Football,"The Football, also known as a soccer ball, is the standard ball used in the sport of football (soccer). It is designed for kicking and passing in the game.",NULL,SPO-BRD-FOO-147,Sports-Accessories,Football,17.99,5.15,17.06,3.28,96,Lifetime,overnight,In Stock,7 days,27,https://cdn.dummyjson.com/product-images/sports-accessories/football/thumbnail.webp
148,Golf Ball,"The Golf Ball is a small ball used in the sport of golf. It features dimples on its surface, providing aerodynamic lift and distance when struck by a golf club.",NULL,SPO-BRD-GOL-148,Sports-Accessories,Golf,9.99,17.37,8.25,4.3,84,1 year,3-5 business days,In Stock,No return,40,https://cdn.dummyjson.com/product-images/sports-accessories/golf-ball/thumbnail.webp
149,Iron Golf,"The Iron Golf is a type of golf club designed for various golf shots. It features a solid metal head and is used for approach shots, chipping, and other golfing techniques.",NULL,SPO-BRD-IRO-149,Sports-Accessories,Golf,49.99,6.53,46.73,4.41,90,3 months,2 weeks,In Stock,7 days,8,https://cdn.dummyjson.com/product-images/sports-accessories/iron-golf/thumbnail.webp
150,Metal Baseball Bat,The Metal Baseball Bat is a durable and lightweight baseball bat made from metal alloys. It is commonly used in baseball games for hitting and batting practice.,NULL,SPO-BRD-MET-150,Sports-Accessories,Baseball,29.99,19.51,24.14,4.66,16,3 year,1 week,In Stock,60 days,9,https://cdn.dummyjson.com/product-images/sports-accessories/metal-baseball-bat/thumbnail.webp
151,Tennis Ball,The Tennis Ball is a standard ball used in the sport of tennis. It is designed for bouncing and hitting with tennis rackets during matches or practice sessions.,NULL,SPO-BRD-TEN-151,Sports-Accessories,Tennis,6.99,11.76,6.17,4.06,28,5 year,1 week,In Stock,7 days,6,https://cdn.dummyjson.com/product-images/sports-accessories/tennis-ball/thumbnail.webp
152,Tennis Racket,"The Tennis Racket is an essential piece of equipment used in the sport of tennis. It features a frame with strings and a grip, allowing players to hit the tennis ball.",NULL,SPO-BRD-TEN-152,Sports-Accessories,Tennis,49.99,19.61,40.19,4.03,6,5 year,overnight,Low Stock,7 days,5,https://cdn.dummyjson.com/product-images/sports-accessories/tennis-racket/thumbnail.webp
153,Volleyball,"The Volleyball is a standard ball used in the sport of volleyball. It is designed for passing, setting, and spiking over the net during volleyball matches.",NULL,SPO-BRD-VOL-153,Sports-Accessories,Volleyball,11.99,12.25,10.52,3.84,0,1 week,1 week,Out of Stock,90 days,44,https://cdn.dummyjson.com/product-images/sports-accessories/volleyball/thumbnail.webp
154,Black Sun Glasses,"The Black Sun Glasses are a classic and stylish choice, featuring a sleek black frame and tinted lenses. They provide both UV protection and a fashionable look.",Fashion Shades,SUN-FAS-BLA-154,Sunglasses,Sunglasses,29.99,4.94,28.51,4.41,60,No,1-2 business days,In Stock,7 days,17,https://cdn.dummyjson.com/product-images/sunglasses/black-sun-glasses/thumbnail.webp
155,Classic Sun Glasses,The Classic Sun Glasses offer a timeless design with a neutral frame and UV-protected lenses. These sunglasses are versatile and suitable for various occasions.,Fashion Shades,SUN-FAS-CLA-155,Sunglasses,Sunglasses,24.99,4.94,23.76,3.86,1,6 months,1 month,Low Stock,90 days,18,https://cdn.dummyjson.com/product-images/sunglasses/classic-sun-glasses/thumbnail.webp
156,Green and Black Glasses,"The Green and Black Glasses feature a bold combination of green and black colors, adding a touch of vibrancy to your eyewear collection. They are both stylish and eye-catching.",Fashion Shades,SUN-FAS-GRE-156,Sunglasses,Sunglasses,34.99,1.01,34.64,4.55,24,1 year,overnight,In Stock,30 days,15,https://cdn.dummyjson.com/product-images/sunglasses/green-and-black-glasses/thumbnail.webp
157,Party Glasses,"The Party Glasses are designed to add flair to your party outfit. With unique shapes or colorful frames, they're perfect for adding a playful touch to your look during celebrations.",Fashion Fun,SUN-FAS-PAR-157,Sunglasses,Party Glasses,19.99,11.22,17.75,2.79,86,3 months,overnight,In Stock,7 days,39,https://cdn.dummyjson.com/product-images/sunglasses/party-glasses/thumbnail.webp
158,Sunglasses,The Sunglasses offer a classic and simple design with a focus on functionality. These sunglasses provide essential UV protection while maintaining a timeless look.,Fashion Shades,SUN-FAS-SUN-158,Sunglasses,Sunglasses,22.99,1.51,22.64,3.02,27,3 year,3-5 business days,In Stock,60 days,8,https://cdn.dummyjson.com/product-images/sunglasses/sunglasses/thumbnail.webp
159,iPad Mini 2021 Starlight,"The iPad Mini 2021 in Starlight is a compact and powerful tablet from Apple. Featuring a stunning Retina display, powerful A-series chip, and a sleek design, it offers a premium tablet experience.",Apple,TAB-APP-IPA-159,Tablets,Tablets,499.99,3.64,481.79,3.18,47,2 year,1-2 business days,In Stock,No return,3,https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021-starlight/thumbnail.webp
160,Samsung Galaxy Tab S8 Plus Grey,"The Samsung Galaxy Tab S8 Plus in Grey is a high-performance Android tablet by Samsung. With a large AMOLED display, powerful processor, and S Pen support, it's ideal for productivity and entertainment.",Samsung,TAB-SAM-SAM-160,Tablets,Tablets,599.99,13.31,520.13,4.68,62,3 months,2 weeks,In Stock,7 days,1,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-s8-plus-grey/thumbnail.webp
161,Samsung Galaxy Tab White,"The Samsung Galaxy Tab in White is a sleek and versatile Android tablet. With a vibrant display, long-lasting battery, and a range of features, it offers a great user experience for various tasks.",Samsung,TAB-SAM-SAM-161,Tablets,Tablets,349.99,18.2,286.29,3.72,92,3 months,overnight,In Stock,7 days,5,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp
162,Blue Frock,"The Blue Frock is a charming and stylish dress for various occasions. With a vibrant blue color and a comfortable design, it adds a touch of elegance to your wardrobe.",NULL,TOP-BRD-BLU-162,Tops,Dresses,29.99,12.13,26.35,4.17,52,Lifetime,2 weeks,In Stock,60 days,4,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp
163,Girl Summer Dress,"The Girl Summer Dress is a cute and breezy dress designed for warm weather. With playful patterns and lightweight fabric, it's perfect for keeping cool and stylish during the summer.",NULL,TOP-BRD-GIR-163,Tops,Girls' Dresses,19.99,19.2,16.15,4.77,43,Lifetime,1 month,In Stock,60 days,46,https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/thumbnail.webp
164,Gray Dress,"The Gray Dress is a versatile and chic option for various occasions. With a neutral gray color, it can be dressed up or down, making it a wardrobe staple for any fashion-forward individual.",NULL,TOP-BRD-GRA-164,Tops,Dresses,34.99,14.28,29.99,2.72,55,1 month,1 month,In Stock,90 days,13,https://cdn.dummyjson.com/product-images/tops/gray-dress/thumbnail.webp
165,Short Frock,"The Short Frock is a playful and trendy dress with a shorter length. Ideal for casual outings or special occasions, it combines style and comfort for a fashionable look.",NULL,TOP-BRD-SHO-165,Tops,Dresses,24.99,13.45,21.63,3.23,22,1 year,1-2 business days,In Stock,30 days,5,https://cdn.dummyjson.com/product-images/tops/short-frock/thumbnail.webp
166,Tartan Dress,"The Tartan Dress features a classic tartan pattern, bringing a timeless and sophisticated touch to your wardrobe. Perfect for fall and winter, it adds a hint of traditional charm.",NULL,TOP-BRD-TAR-166,Tops,Dresses,39.99,12.95,34.81,4.05,73,1 month,overnight,In Stock,No return,1,https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp
167,300 Touring,"The 300 Touring is a stylish and comfortable sedan, known for its luxurious features and smooth performance.",Chrysler,VEH-CHR-TOU-167,Vehicle,Vehicles,28999.99,3.98,27845.79,4.05,54,3 year,2 weeks,In Stock,30 days,1,https://cdn.dummyjson.com/product-images/vehicle/300-touring/thumbnail.webp
168,Charger SXT RWD,"The Charger SXT RWD is a powerful and sporty rear-wheel-drive sedan, offering a blend of performance and practicality.",Dodge,VEH-DOD-CHA-168,Vehicle,Sports Cars,32999.99,8.23,30284.09,2.58,57,1 month,3-5 business days,In Stock,No return,1,https://cdn.dummyjson.com/product-images/vehicle/charger-sxt-rwd/thumbnail.webp
169,Dodge Hornet GT Plus,"The Dodge Hornet GT Plus is a compact and agile hatchback, perfect for urban driving with a touch of sportiness.",Dodge,VEH-DOD-DOD-169,Vehicle,Compact Cars,24999.99,2.63,24342.49,2.65,82,1 year,1 month,In Stock,60 days,1,https://cdn.dummyjson.com/product-images/vehicle/dodge-hornet-gt-plus/thumbnail.webp
170,Durango SXT RWD,"The Durango SXT RWD is a spacious and versatile SUV, known for its strong performance and family-friendly features.",Dodge,VEH-DOD-DUR-170,Vehicle,Vehicles,36999.99,16.44,30917.19,4.07,95,2 year,1 month,In Stock,30 days,1,https://cdn.dummyjson.com/product-images/vehicle/durango-sxt-rwd/thumbnail.webp
171,Pacifica Touring,"The Pacifica Touring is a stylish and well-equipped minivan, offering comfort and convenience for family journeys.",Chrysler,VEH-CHR-PAC-171,Vehicle,Vehicles,31999.99,14.76,27276.79,3.62,53,1 month,overnight,In Stock,60 days,1,https://cdn.dummyjson.com/product-images/vehicle/pacifica-touring/thumbnail.webp
172,Blue Women's Handbag,"The Blue Women's Handbag is a stylish and spacious accessory for everyday use. With a vibrant blue color and multiple compartments, it combines fashion and functionality.",Fashionista,WOM-FAS-BLU-172,Womens-Bags,Handbags,49.99,17.88,41.05,2.92,76,1 year,1 week,In Stock,7 days,5,https://cdn.dummyjson.com/product-images/womens-bags/blue-women's-handbag/thumbnail.webp
173,Heshe Women's Leather Bag,"The Heshe Women's Leather Bag is a luxurious and high-quality leather bag for the sophisticated woman. With a timeless design and durable craftsmanship, it's a versatile accessory.",Heshe,WOM-HES-HES-173,Womens-Bags,Leather Bags,129.99,3.87,124.96,4.92,99,5 year,overnight,In Stock,90 days,5,https://cdn.dummyjson.com/product-images/womens-bags/heshe-women's-leather-bag/thumbnail.webp
174,Prada Women Bag,"The Prada Women Bag is an iconic designer bag that exudes elegance and luxury. Crafted with precision and featuring the Prada logo, it's a statement piece for fashion enthusiasts.",Prada,WOM-PRA-PRA-174,Womens-Bags,Designer Bags,599.99,14.09,515.45,2.71,75,3 year,1-2 business days,In Stock,60 days,1,https://cdn.dummyjson.com/product-images/womens-bags/prada-women-bag/thumbnail.webp
175,White Faux Leather Backpack,"The White Faux Leather Backpack is a trendy and practical backpack for the modern woman. With a sleek white design and ample storage space, it's perfect for both casual and on-the-go styles.",Urban Chic,WOM-URB-WHI-175,Womens-Bags,Backpacks,39.99,15.2,33.91,3.36,39,2 year,1 week,In Stock,90 days,7,https://cdn.dummyjson.com/product-images/womens-bags/white-faux-leather-backpack/thumbnail.webp
176,Women Handbag Black,"The Women Handbag in Black is a classic and versatile accessory that complements various outfits. With a timeless black color and functional design, it's a must-have in every woman's wardrobe.",Elegance Collection,WOM-ELE-WOM-176,Womens-Bags,Handbags,59.99,11.63,53.01,2.89,11,Lifetime,1 month,In Stock,60 days,9,https://cdn.dummyjson.com/product-images/womens-bags/women-handbag-black/thumbnail.webp
177,Black Women's Gown,"The Black Women's Gown is an elegant and timeless evening gown. With a sleek black design, it's perfect for formal events and special occasions, exuding sophistication and style.",NULL,WOM-BRD-BLA-177,Womens-Dresses,Gowns,129.99,10.48,116.37,3.64,25,Lifetime,1 week,In Stock,No return,5,https://cdn.dummyjson.com/product-images/womens-dresses/black-women's-gown/thumbnail.webp
178,Corset Leather With Skirt,"The Corset Leather With Skirt is a bold and edgy ensemble that combines a stylish corset with a matching skirt. Ideal for fashion-forward individuals, it makes a statement at any event.",NULL,WOM-BRD-COR-178,Womens-Dresses,Corsets,89.99,16.26,75.36,3.05,30,2 year,overnight,In Stock,30 days,3,https://cdn.dummyjson.com/product-images/womens-dresses/corset-leather-with-skirt/thumbnail.webp
179,Corset With Black Skirt,The Corset With Black Skirt is a chic and versatile outfit that pairs a fashionable corset with a classic black skirt. It offers a trendy and coordinated look for various occasions.,NULL,WOM-BRD-COR-179,Womens-Dresses,Corsets,79.99,15.06,67.94,4.52,33,1 month,1 week,In Stock,No return,5,https://cdn.dummyjson.com/product-images/womens-dresses/corset-with-black-skirt/thumbnail.webp
180,Dress Pea,"The Dress Pea is a stylish and comfortable dress with a pea pattern. Perfect for casual outings, it adds a playful and fun element to your wardrobe, making it a great choice for day-to-day wear.",NULL,WOM-BRD-DRE-180,Womens-Dresses,Dresses,49.99,17.68,41.15,4.88,6,2 year,overnight,Low Stock,90 days,6,https://cdn.dummyjson.com/product-images/womens-dresses/dress-pea/thumbnail.webp
181,Marni Red & Black Suit,"The Marni Red & Black Suit is a sophisticated and fashion-forward suit ensemble. With a combination of red and black tones, it showcases a modern design for a bold and confident look.",NULL,WOM-BRD-MAR-181,Womens-Dresses,Suits,179.99,19.02,145.76,4.48,62,5 year,2 weeks,In Stock,90 days,2,https://cdn.dummyjson.com/product-images/womens-dresses/marni-red-&-black-suit/thumbnail.webp
182,Green Crystal Earring,"The Green Crystal Earring is a dazzling accessory that features a vibrant green crystal. With a classic design, it adds a touch of elegance to your ensemble, perfect for formal or special occasions.",NULL,WOM-BRD-GRE-182,Womens-Jewellery,Earrings,29.99,15.24,25.42,3.96,54,5 year,3-5 business days,In Stock,60 days,15,https://cdn.dummyjson.com/product-images/womens-jewellery/green-crystal-earring/thumbnail.webp
183,Green Oval Earring,"The Green Oval Earring is a stylish and versatile accessory with a unique oval shape. Whether for casual or dressy occasions, its green hue and contemporary design make it a standout piece.",NULL,WOM-BRD-GRE-183,Womens-Jewellery,Earrings,24.99,15.18,21.2,3.57,73,3 months,3-5 business days,In Stock,60 days,19,https://cdn.dummyjson.com/product-images/womens-jewellery/green-oval-earring/thumbnail.webp
184,Tropical Earring,"The Tropical Earring is a fun and playful accessory inspired by tropical elements. Featuring vibrant colors and a lively design, it's perfect for adding a touch of summer to your look.",NULL,WOM-BRD-TRO-184,Womens-Jewellery,Earrings,19.99,0.76,19.84,4.4,1,3 year,1-2 business days,Low Stock,7 days,31,https://cdn.dummyjson.com/product-images/womens-jewellery/tropical-earring/thumbnail.webp
185,Black & Brown Slipper,"The Black & Brown Slipper is a comfortable and stylish choice for casual wear. Featuring a blend of black and brown colors, it adds a touch of sophistication to your relaxation.",Comfort Trends,WOM-COM-BLA-185,Womens-Shoes,Slippers,19.99,3.33,19.32,2.53,3,Lifetime,1 month,Low Stock,60 days,47,https://cdn.dummyjson.com/product-images/womens-shoes/black-&-brown-slipper/thumbnail.webp
186,Calvin Klein Heel Shoes,"Calvin Klein Heel Shoes are elegant and sophisticated, designed for formal occasions. With a classic design and high-quality materials, they complement your stylish ensemble.",Calvin Klein,WOM-CAL-CAL-186,Womens-Shoes,Heel Shoes,79.99,3.19,77.44,4.92,93,2 year,1 week,In Stock,60 days,6,https://cdn.dummyjson.com/product-images/womens-shoes/calvin-klein-heel-shoes/thumbnail.webp
187,Golden Shoes Woman,"The Golden Shoes for Women are a glamorous choice for special occasions. Featuring a golden hue and stylish design, they add a touch of luxury to your outfit.",Fashion Diva,WOM-FAS-GOL-187,Womens-Shoes,Women'S Shoes,49.99,13.93,43.03,3.26,88,6 months,2 weeks,In Stock,7 days,7,https://cdn.dummyjson.com/product-images/womens-shoes/golden-shoes-woman/thumbnail.webp
188,Pampi Shoes,"Pampi Shoes offer a blend of comfort and style for everyday use. With a versatile design, they are suitable for various casual occasions, providing a trendy and relaxed look.",Pampi,WOM-PAM-PAM-188,Womens-Shoes,Casual Shoes,29.99,14.14,25.75,3.05,49,No,1 week,In Stock,60 days,12,https://cdn.dummyjson.com/product-images/womens-shoes/pampi-shoes/thumbnail.webp
189,Red Shoes,"The Red Shoes make a bold statement with their vibrant red color. Whether for a party or a casual outing, these shoes add a pop of color and style to your wardrobe.",Fashion Express,WOM-FAS-SHO-189,Womens-Shoes,Women'S Shoes,34.99,17.69,28.8,3.25,7,No,1 month,Low Stock,60 days,8,https://cdn.dummyjson.com/product-images/womens-shoes/red-shoes/thumbnail.webp
190,IWC Ingenieur Automatic Steel,"The IWC Ingenieur Automatic Steel watch is a durable and sophisticated timepiece. With a stainless steel case and automatic movement, it combines precision and style for watch enthusiasts.",IWC,WOM-IWC-ING-190,Womens-Watches,Luxury Watches,4999.99,9.45,4527.49,2.93,90,1 year,overnight,In Stock,No return,1,https://cdn.dummyjson.com/product-images/womens-watches/iwc-ingenieur-automatic-steel/thumbnail.webp
191,Rolex Cellini Moonphase,"The Rolex Cellini Moonphase watch is a masterpiece of horology. Featuring a moon phase complication, it showcases the craftsmanship and elegance that Rolex is renowned for.",Rolex,WOM-ROL-ROL-191,Womens-Watches,Luxury Watches,15999.99,4.11,15342.39,3.83,52,1 month,1 week,In Stock,30 days,1,https://cdn.dummyjson.com/product-images/womens-watches/rolex-cellini-moonphase/thumbnail.webp
192,Rolex Datejust Women,"The Rolex Datejust Women's watch is an iconic timepiece designed for women. With a timeless design and a date complication, it offers both elegance and functionality.",Rolex,WOM-ROL-ROL-192,Womens-Watches,Luxury Watches,10999.99,15.94,9246.59,2.86,4,5 year,2 weeks,Low Stock,No return,1,https://cdn.dummyjson.com/product-images/womens-watches/rolex-datejust-women/thumbnail.webp
193,Watch Gold for Women,"The Gold Women's Watch is a stunning accessory that combines luxury and style. Featuring a gold-plated case and a chic design, it adds a touch of glamour to any outfit.",Fashion Gold,WOM-FAS-WAT-193,Womens-Watches,Women'S Watches,799.99,18.34,653.27,4.24,0,2 year,1-2 business days,Out of Stock,60 days,1,https://cdn.dummyjson.com/product-images/womens-watches/watch-gold-for-women/thumbnail.webp
194,Women's Wrist Watch,"The Women's Wrist Watch is a versatile and fashionable timepiece for everyday wear. With a comfortable strap and a simple yet elegant design, it complements various styles.",Fashion Co.,WOM-FAS-WOM-194,Womens-Watches,Women'S Watches,129.99,12.6,113.61,3.52,12,1 year,2 weeks,In Stock,No return,5,https://cdn.dummyjson.com/product-images/womens-watches/women's-wrist-watch/thumbnail.webp
